custo_real,previsao_modelo
24.9816047538945,75.15569889037084
48.02857225639664,47.43055755546491
39.2797576724562,39.4632792255272
33.946339367881464,29.97120153867968
16.24074561769746,15.801401842022436
16.239780813448107,16.9540059564716
12.32334448672798,15.279132576211012
44.647045830997406,43.610505394450115
34.04460046972835,32.42761326394198
38.32290311184182,37.319389024672745
10.823379771832098,-27.345815992763754
48.79639408647977,49.45389630579914
43.29770563201687,42.23818522448279
18.493564427131048,19.52009929335776
17.272998688284027,17.467153786980106
17.33618039413735,19.27347037520313
22.16968971838151,20.765583530626806
30.990257265289515,30.334932972093977
27.27780074568463,26.493584439420314
21.649165607921677,18.72213571165744
34.474115788895176,35.06635634302433
15.579754426081674,16.101864970441454
21.685785941408724,21.696012854693645
24.654473731747668,24.185299464997374
28.24279936868144,25.412057884580612
41.407038455720546,40.565747810189826
17.98695128633439,17.30152225328085
30.569377536544465,28.964822998101226
33.696582754481696,33.374011331149674
11.85801650879991,12.666118222428986
34.30179407605753,38.074165878478595
16.82096494749166,17.170120573155337
12.60206371941118,13.11716450085671
47.95542149013333,47.806529658601
48.625281322982374,44.78773889238429
42.33589392465844,42.282866173760006
22.184550766934827,22.30501118681688
13.906884560255355,18.83336878522593
37.36932106048627,36.984599130924025
27.606099749584054,28.20919443425128
14.881529393791153,14.812105854380667
29.807076404450807,27.469720329211743
11.375540844608736,13.661186473638777
46.372816083151285,47.876682148524836
20.351199264000677,21.93326315808677
36.50089137415928,34.6821164645698
22.46844304357644,25.27403166544864
30.802720847112433,27.99901872152787
31.868411173731186,33.04212536133173
17.394178221021082,21.77508947264104
48.783385110582344,106.80231246032096
41.00531293444458,39.872717475239035
47.579957662567566,47.77926039274285
45.79309401710595,44.786142708873555
33.915999152443405,30.81467229031114
46.87496940092467,47.012095350536725
13.53970008207678,11.415092654624571
17.83931449676581,18.78649935803617
11.809091556421523,9.970243087953916
23.013213230530575,26.113082040565654
25.54709158757928,23.980585002906807
20.853961270955836,20.209838238544485
43.14950036607718,44.77653480081651
24.270133067743572,21.808404434875662
21.23738038749523,21.692300256703486
31.70784332632994,34.3221288348948
15.636968998990506,12.42200252986805
42.08787923016159,42.4571469472262
12.982025747190832,13.50179133568768
49.47547746402069,51.039123207575315
40.889790771866295,38.415889350110135
17.948627261366894,15.307714035198341
10.220884684944096,11.26476781617789
42.618457138193364,43.21242648465974
38.274293753904686,38.775279454596436
39.160286721639494,39.85318314063345
40.85081386743783,39.49076442428085
12.961786069363615,13.426293463685623
24.338629141770905,24.924774088368267
14.634762381005189,13.206059544952453
44.52413703502374,48.255686057313255
34.93192507310232,35.8795909149259
23.235920994105967,20.85331399970067
12.542334011440946,13.855441228708607
22.439292868626488,20.489929528171846
23.007332881069882,24.581502088554785
39.18424713352256,41.50143829153737
35.502298854208526,33.860934217505104
45.48850970305306,47.4152619615417
28.888597006477973,29.71415886035097
14.783769837532068,16.42789015752105
38.5297914889198,42.323377454227696
40.4314019446759,39.940625712670155
32.45108790277985,30.943615574064868
40.83868719818244,39.05965833893139
29.75182385457563,28.120203284644752
30.909313175279763,30.755109756451557
27.101640734341984,27.78394468397527
11.016765069763807,11.570146668423845
14.315657079732178,15.970023577804225
